,DisplayText,Duration,Offset
118,"Ja, det är. Hmm, ja, det gör man. Hmm, när man vill att människor hjälper varandra. Beslutet ska bestämma och är en fråga till skadan.",19.02,875.25
119,"Hmm, är oro eller inte? Hmm, folkomröstning on.",6.3,895.95
120,Detta är ett projekt man använder fall och korsa vattendrag med genom att gå eller om ni bilar. Hmm bra men den. Den har också en ett speciellt utseende.,16.35,906.46
121,Conny kunna gå in i upprättas. Hmm hänger?,7.14,927.14
122,"Hmm, det finns.",4.49,938.54
123,Hmm.,1.57,943.08
124,"Vår kropp? Ja, det är. Hmm. Det är en del av den här växten som vi har i vår kropp.",9.67,944.96
125,"Om det är små saker som är musslorna. Nej, dom hjälper till att syresätta sällan. Hmm.",11.17,955.86
126,Detta är ju.,1.44,974.98
127,Den typ av.,1.33,979.23
128,"Det det används som ett sätt att få bjuda många människor från att använda vissa saker, exempelvis fall eller hon kör bil.",13.36,984.81
129,"Hmm, begränsning.",1.5,1003.39
130,"Ja, vad säger man ska? Hmm?",4.21,1005.76
131,"Där, hmm. Ett en byggnad eller en hmm en saab en stor sak som finns i ja, men väldigt få människor har gjort eller inte som hmm, många tycker det är väldigt fint hmm.",20.24,1014.97
132,"Det är ibland till exempel. Hmm, det är hela tiden.",6.52,1036.59
133,Spelaren tack.,2.28,1045.1
134,Viktig match.,1.33,1053.57
135,,1.09,1056.44
