,DisplayText,Duration,Offset
57,Ja vi har nu och skrev ja hmm du ska ta det över en ribba ja men oavsett vem som stefan holm var bra på.,11.88,457.35
58,Hmm så.,1.49,473.83
59,"Hmm dig bästa jaha hmm, det innehåller det andra så. Hmm ja ja.",10.58,475.97
60,"Det här är en typ av musikinstrument, till exempel trummor med marimba sifon.",8.18,488.95
61,De tillhör en. Hmm?,3.16,499.38
62,Ja.,0.62,504.03
63,Hmm. Om du inte kan gå själv så jag sitter ensam här och så kan folk runt i den. Ja.,7.4,507.27
64,Hmm vi har 2 hjul ja.,3.2,516.18
65,"Dag för de som har handikapp, hmm rullstol bra ja.",6.31,521.63
66,Mcdonalds har här valt. Hmm?,3.47,529.92
67,"Ja ja, hmm, det här är väldigt försenad här för att komma in på kontot, varit andra namn. Och ja.",13.95,537.36
68,Du behöver skriva allmänt namn och den andra för att logga in sig i bankkonto till exempel hmm lösenord.,9.15,553.42
69,Ja.,0.49,564.15
70,Hmm.,1.62,565.72
71,"Desto när det fanns du det då det gröna? Ja, det är en planta som du har en liten behållare ofta i hemmet.",9.15,567.8
72,Hmm.,1.58,577.83
73,"Ja vad hon ja förstås. Ja, ja, ja.",6.66,580.08
74,"Det här är ett jul med 2 horn som bringar släpar. Ja, det är möjligt.",6.58,588.15
75,"Ja, det är typ en det. Hmm.",2.93,597.16
76,Hmm.,1.56,600.14
77,Ja borde sin bok.,3.95,602.16
78,Men har nu så var natten och har jag tankar eller läsk eller dåliga. Då brukar man kalla någonting speciellt hmm morgon.,11.46,609.51
79,"Hmm, för att du ska kunna?",2.51,624.15
80,"Hmm, ja välja en person som styr till exempel ett land och då så ja ja.",9.17,627.79
81,Ja mindre.,1.79,638.17
82,"Vad jag till min mormor? Ja, jag är mitt mormors jaha.",8.37,640.93
83,Hmm.,1.52,651.74
84,Hmm generationer berg hmm.,5.45,654.23
85,,3.16,659.74
86,Ett anonymt hon barn ja aldrig hmm ja.,6.71,663.45
87,"Hmm, men dom dör han ligger på hmm, begravning.",4.67,672.44
88,Eller kyrkogården då har stora ens namn på en viss sak. Vad heter denna saken? Hmm gång.,8.17,678.1
89,"Ja tavlan nej, det är han ett monument där så vet man när vi alla underdog som finns på kyrkogårdar. Hmm bra syn.",11.84,686.96
90,"Om du har smutsiga fötter och många kommer att gå på golvet, du kommer att lämna.",7.12,703.14
91,"Nånting på golvet efter det? Hmm ja, när du går på marken så lämnade avtryck. Vi får mina skor ja vinna.",11.14,711.68
92,Hmm fotspår ja ja.,3.49,725.9
93,"Hmm, ja det här. Hmm, ja.",5.09,731.42
94,"Ja, det kommer att bli äldre och möjligheter från från ja.",6.06,740.4
95,Ja of hmm min blick pappas namn är syskon är min.,7.36,747.89
96,"Den gamla äldre, man blir äldre, man som man känner, hmm.",7.9,759.59
97,Ja.,0.54,768.44
98,Hmm.,1.51,770.74
99,"Stora djur som lever på nord eller sydpolen, man får båda and it.",7.05,772.3
100,Hmm.,1.5,783.05
101,"Hmm, står det om ett djur päls?",3.17,785.36
102,"Ja, det är stress.",2.38,789.14
103,Hmm isbjörn ja ja.,3.27,793.07
104,"Hmm nej vi människor domesticerad varelser hmm, som till exempel hundar eller katter? Hmm.",11.5,798.16
105,"Vi kan kalla vad kallar man liksom djuren som vi människor har i våra hem, hmm.",7.55,811.67
106,Hmm.,1.55,822.97
107,"21, jag är inte präst.",2.63,825.35
108,"Ja, jag har istället testa att säga ja domkyrka.",4.99,828.67
109,Katolsk kyrka ja ja kyrkan ska ja.,4.16,835.03
110,"Hmm, det är saker du har i boken både, ja, det är väl ändå säga hmm hmm och jag lyssnar. Hmm, vi har olika saker vi har nästa. Hmm.",17.49,841.26
111,Hmm.,0.69,860.06
112,När du åker någonstans då säger du att det är hmm.,4.49,861.5
113,Storstaden nej stort nog tvingas val och sen 2 ja nej typ av boende där en massa hus som ligger byggda precis bredvid varandra direkt iväg. Ja nej.,16.85,866.32
114,"Men i lägenheten? Ja inte vidare. Ja, hus ja, ja.",5.88,884.17
115,Hmm märks och kolla på tv serie eller blivit så börjar ofta avsnittet med en lovat.,6.42,891.58
116,Vem är lisa?,1.71,898.99
117,Om den här.,1.0,902.95
118,"Hmm, den här sången är den här. Hmm ja. Snopen blev kallas någonting som man känner igen att det är från en serie. Hmm signatur.",14.67,905.12
119,"Om du om, du får inte göra nånting till något av.",3.88,924.7
120,Ilo om du inte gör någonting på grund av hur gammal du är.,3.82,930.81
121,"Till exempel, gå på bio eller köpa cigaretter. Då har du sakna. Hmm, bra.",7.22,935.95
122,Ja.,0.72,943.75
123,"Hmm, men det är inget som är riktigt om människor som är storslaget. Jaha och lite. Ja, vad ska vi säga?",12.34,946.47
124,"Ja tony, ja som är länge sen som är hmm som i kina till exempel den ja hmm.",9.11,960.34
125,Ja.,0.62,970.46
126,Hmm.,1.49,972.92
127,Krrish är så här. Jaha.,3.09,975.35
128,Hmm.,1.66,982.65
129,"Hmm ja ja, det är väl på inför tänkte jag ja hmm.",9.8,984.36
130,"Menar personer i ett samhälle ska bestämma om någonting så utförs en sån här hmm folkomröstning. Hmm, det är hela tiden vi har pratat med spelaren mig ja va helt tack.",17.93,994.55
131,"Ja, det är konstigt.",0.96,1016.06
132,"Ja, vad ger du mig?",1.96,1020.05
133,Byggmax har kanske. Vi kan inte aktivera från drake inbjudna fast in den där olika band.,8.7,1024.8
